goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,1,0.08244583010673523,69,AMC,Fulham,Arsenal,0,1,2025-10-18,28851,2025,744473,0,0,0,0,0.08244583010673523,0.2991619110107422,0.21671606600284576
0,1,0.016472890973091125,71,FW,Bournemouth,Fulham,3,1,2025-10-03,28838,2025,742056,0,0,0,0,0.016472890973091125,0.1174871176481247,0.1174871176481247
0,3,0.3390407860279083,73,AMC,Aston Villa,Fulham,3,1,2025-09-28,28831,2025,741337,0.029906651005148888,0,1,0,0.3390407860279083,0.7746809720993042,0.40573355555534363
0,2,0.16079698503017426,72,AMC,Fulham,Brentford,3,1,2025-09-20,28825,2025,739000,0,0,0,0,0.16079698503017426,0.15289738774299622,0.09372397512197495
0,0,0,60,AMC,Fulham,Leeds,1,0,2025-09-13,28813,2025,736998,0,0,0,0,0,0,0
0,1,0.05410286784172058,77,AMC,Chelsea,Fulham,2,0,2025-08-30,28798,2025,734840,0.10743560642004013,0,1,0,0.05410286784172058,0.16153846681118011,0
0,2,0.3332832157611847,73,AMC,Fulham,Manchester United,1,1,2025-08-24,28796,2025,734081,0,0,0,0,0.3332832157611847,0.3332832157611847,0
0,1,0.09185106307268143,78,AMC,Brighton,Fulham,1,1,2025-08-16,28780,2025,732726,0.01406861376017332,0,1,0,0.09185106307268143,0.24256843328475952,0.1366487592458725
0,1,0.4621611535549164,16,Sub,Fulham,Manchester City,0,2,2025-05-25,26981,2024,730202,0,0,0,0,0.4621611535549164,0.4621611535549164,0.4621611535549164
0,0,0,20,Sub,Brentford,Fulham,2,3,2025-05-18,26964,2024,728523,0,0,0,0,0,0.016319679096341133,0.016319679096341133
0,1,0.08341337740421295,4,Sub,Fulham,Everton,1,3,2025-05-10,26953,2024,725723,0,0,0,0,0.08341337740421295,0.08341337740421295,0
0,0,0,1,Sub,Leicester,Fulham,0,2,2025-01-18,26817,2024,700049,0,0,0,0,0,0,0
0,1,0.04245133325457573,1,Sub,West Ham,Fulham,3,2,2025-01-14,26808,2024,699166,0.6829599142074585,0,1,0,0.04245133325457573,0.7254112362861633,0
0,0,0,1,Sub,Fulham,Bournemouth,2,2,2024-12-29,26786,2024,696715,0,0,0,0,0,0,0
0,0,0,64,AMC,Fulham,Southampton,0,0,2024-12-22,26763,2024,695637,0.07022207975387573,0,2,0,0,0.08716714382171631,0.016945065930485725
0,0,0,8,Sub,Fulham,Brighton,3,1,2024-12-05,26736,2024,691614,0,0,0,0,0,0,0
