goals,shots,xG,time,position,h_team,a_team,h_goals,a_goals,date,id,season,roster_id,xA,assists,key_passes,npg,npxG,xGChain,xGBuildup
0,0,0,40,Sub,Brighton,Brentford,2,1,2025-11-22,28890,2025,752000,0.06215159222483635,0,1,0,0,0.13635332882404327,0.07420173287391663
0,0,0,3,Sub,Crystal Palace,Brighton,0,0,2025-11-09,28881,2025,750929,0,0,0,0,0,0,0
0,1,0.027252256870269775,60,DL,Manchester United,Brighton,4,2,2025-10-25,28865,2025,746104,0.13732095062732697,0,2,0,0.027252256870269775,0.18884120881557465,0.16158895194530487
0,1,0.04740219935774803,55,Sub,Brighton,Newcastle United,2,1,2025-10-18,28848,2025,744197,0,0,0,0,0.04740219935774803,0.08453693240880966,0.03713472932577133
0,1,0.022477824240922928,18,Sub,Wolverhampton Wanderers,Brighton,1,1,2025-10-05,28847,2025,743136,0.1297849416732788,0,1,0,0.022477824240922928,0.07251077890396118,0.07251077890396118
1,1,0.4856862723827362,3,Sub,Chelsea,Brighton,1,3,2025-09-27,28829,2025,740621,0,0,0,1,0.4856862723827362,0,0
0,0,0,23,DL,Bournemouth,Brighton,2,1,2025-09-13,28810,2025,736923,0,0,0,0,0,0,0
0,0,0,90,DL,Brighton,Manchester City,2,1,2025-08-31,28805,2025,735687,0,0,0,0,0,0.07301545888185501,0.07301545888185501
0,0,0,69,DL,Everton,Brighton,2,0,2025-08-24,28795,2025,733843,0,0,0,0,0,0.8316545486450195,0.8316545486450195
0,0,0,90,DL,Brighton,Fulham,1,1,2025-08-16,28780,2025,732706,0.035241179168224335,0,2,0,0,0.10298558324575424,0.08075278252363205
