h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,id,title
a,1.57303,2.33007,1.57303,2.33007,"{'att': 278, 'def': 24}","{'att': 149, 'def': 17}",8,9,2,4,0.8954,l,2025-08-15 19:00:00,0,0,1,0,-0.7570400000000002,73,Bournemouth
h,1.78462,0.373367,1.78462,0.373367,"{'att': 147, 'def': 25}","{'att': 219, 'def': 21}",6,3,1,0,2.5305999999999997,w,2025-08-23 14:00:00,1,0,0,3,1.411253,73,Bournemouth
a,2.1201,0.17067,2.1201,0.17067,"{'att': 293, 'def': 41}","{'att': 130, 'def': 25}",11,4,1,0,2.7342000000000004,w,2025-08-30 14:00:00,1,0,0,3,1.94943,73,Bournemouth
h,1.44187,0.624923,0.680706,0.624923,"{'att': 195, 'def': 18}","{'att': 200, 'def': 23}",5,3,2,1,2.1195,w,2025-09-13 14:00:00,1,0,0,3,0.05578300000000003,73,Bournemouth
h,0.55066,0.153629,0.55066,0.153629,"{'att': 184, 'def': 22}","{'att': 279, 'def': 17}",4,6,0,0,1.7041999999999997,d,2025-09-21 13:00:00,0,1,0,1,0.397031,73,Bournemouth
a,1.06033,2.04728,1.06033,2.04728,"{'att': 210, 'def': 25}","{'att': 262, 'def': 26}",9,3,2,2,0.6846,d,2025-09-27 14:00:00,0,1,0,1,-0.9869500000000002,73,Bournemouth
h,1.33458,0.84335,1.33458,0.84335,"{'att': 235, 'def': 17}","{'att': 268, 'def': 14}",13,10,3,1,1.8082,w,2025-10-03 19:00:00,1,0,0,3,0.49123000000000006,73,Bournemouth
a,2.0471,4.56284,2.0471,3.80167,"{'att': 219, 'def': 27}","{'att': 196, 'def': 25}",6,14,3,3,0.1793,d,2025-10-18 14:00:00,0,1,0,1,-1.7545700000000002,73,Bournemouth
h,0.656601,0.305493,0.656601,0.305493,"{'att': 201, 'def': 25}","{'att': 235, 'def': 20}",7,4,2,0,1.6589999999999998,w,2025-10-26 13:00:00,1,0,0,3,0.351108,73,Bournemouth
a,0.899846,2.48999,0.899846,2.48999,"{'att': 258, 'def': 23}","{'att': 323, 'def': 16}",4,8,1,3,0.3725,l,2025-11-02 16:30:00,0,0,1,0,-1.590144,73,Bournemouth
a,2.00992,1.88282,1.24875,1.88282,"{'att': 184, 'def': 27}","{'att': 168, 'def': 29}",6,10,0,4,1.4691999999999998,l,2025-11-09 14:00:00,0,0,1,0,-0.6340699999999999,73,Bournemouth
h,3.48299,0.390782,2.72182,0.390782,"{'att': 76, 'def': 33}","{'att': 239, 'def': 11}",9,3,2,2,2.9155,d,2025-11-22 15:00:00,0,1,0,1,2.331038,73,Bournemouth
a,1.79274,1.16955,1.79274,0.40842,"{'att': 139, 'def': 18}","{'att': 198, 'def': 20}",9,9,2,3,1.8752999999999997,l,2025-11-29 15:00:00,0,0,1,0,1.38432,73,Bournemouth
h,0.635415,1.19573,0.635415,1.19573,"{'att': 158, 'def': 14}","{'att': 281, 'def': 24}",7,5,0,1,0.8400000000000001,l,2025-12-02 19:30:00,0,0,1,0,-0.560315,73,Bournemouth
h,1.41931,0.672602,1.41931,0.672602,"{'att': 288, 'def': 26}","{'att': 163, 'def': 20}",6,4,0,0,2.1058,d,2025-12-06 15:00:00,0,1,0,1,0.746708,73,Bournemouth
a,2.35196,3.21204,2.35196,3.21204,"{'att': 176, 'def': 13}","{'att': 109, 'def': 18}",12,18,4,4,0.8651,d,2025-12-15 20:00:00,0,1,0,1,-0.86008,73,Bournemouth
h,1.81847,0.480528,1.81847,0.480528,"{'att': 121, 'def': 22}","{'att': 233, 'def': 22}",12,3,1,1,2.4666,d,2025-12-20 15:00:00,0,1,0,1,1.337942,73,Bournemouth
a,2.56183,2.8513,2.56183,2.8513,"{'att': 206, 'def': 30}","{'att': 166, 'def': 20}",5,9,1,4,1.1932,l,2025-12-27 15:00:00,0,0,1,0,-0.2894700000000001,73,Bournemouth
a,3.49142,2.33294,3.49142,1.57177,"{'att': 253, 'def': 16}","{'att': 119, 'def': 24}",8,10,2,2,2.1684,d,2025-12-30 19:30:00,0,1,0,1,1.9196500000000003,73,Bournemouth
h,0.947846,1.28,0.947846,1.28,"{'att': 250, 'def': 16}","{'att': 175, 'def': 22}",4,9,2,3,1.0641,l,2026-01-03 17:30:00,0,0,1,0,-0.33215400000000006,73,Bournemouth
h,1.19014,1.6261,1.19014,1.6261,"{'att': 254, 'def': 28}","{'att': 166, 'def': 18}",4,8,3,2,1.0072,w,2026-01-07 19:30:00,1,0,0,3,-0.4359600000000001,73,Bournemouth
a,1.69737,0.995777,0.936204,0.995777,"{'att': 291, 'def': 13}","{'att': 133, 'def': 20}",7,8,1,1,1.9743000000000002,d,2026-01-19 20:00:00,0,1,0,1,-0.05957299999999999,73,Bournemouth
h,3.31474,0.937335,3.31474,0.937335,"{'att': 272, 'def': 8}","{'att': 158, 'def': 16}",7,18,3,2,2.7662,w,2026-01-24 17:30:00,1,0,0,3,2.377405,73,Bournemouth
a,1.59116,2.10353,1.59116,2.10353,"{'att': 293, 'def': 24}","{'att': 285, 'def': 21}",4,5,2,0,1.0088,w,2026-01-31 15:00:00,1,0,0,3,-0.5123700000000002,73,Bournemouth
h,1.82646,0.646496,1.82646,0.646496,"{'att': 203, 'def': 17}","{'att': 231, 'def': 17}",6,8,1,1,2.2787999999999995,d,2026-02-07 15:00:00,0,1,0,1,1.179964,73,Bournemouth
