h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,id,title
a,0.902883,1.44008,0.902883,0.678909,"{'att': 292, 'def': 18}","{'att': 250, 'def': 28}",6,5,1,1,0.835,d,2025-08-16 14:00:00,0,1,0,1,0.223974,228,Fulham
h,1.65333,1.54603,1.65333,0.784858,"{'att': 218, 'def': 22}","{'att': 196, 'def': 18}",11,11,1,1,1.4455999999999998,d,2025-08-24 15:30:00,0,1,0,1,0.868472,228,Fulham
a,0.736228,2.4324,0.736228,1.67123,"{'att': 293, 'def': 27}","{'att': 233, 'def': 25}",9,4,0,2,0.2994,l,2025-08-30 11:30:00,0,0,1,0,-0.935002,228,Fulham
h,1.13979,0.830398,1.13979,0.830398,"{'att': 218, 'def': 23}","{'att': 242, 'def': 18}",4,5,1,0,1.6496,w,2025-09-13 14:00:00,1,0,0,3,0.3093920000000001,228,Fulham
h,1.52431,0.826556,1.52431,0.826556,"{'att': 258, 'def': 13}","{'att': 283, 'def': 21}",5,3,3,1,1.9517,w,2025-09-20 19:00:00,1,0,0,3,0.6977540000000001,228,Fulham
a,0.952612,1.36575,0.952612,1.36575,"{'att': 249, 'def': 18}","{'att': 243, 'def': 14}",4,6,1,3,0.9763999999999999,l,2025-09-28 13:00:00,0,0,1,0,-0.413138,228,Fulham
a,0.84335,1.33458,0.84335,1.33458,"{'att': 268, 'def': 14}","{'att': 235, 'def': 17}",10,13,1,3,0.8946999999999998,l,2025-10-03 19:00:00,0,0,1,0,-0.49123000000000006,228,Fulham
h,0.502332,2.07823,0.502332,2.07823,"{'att': 291, 'def': 16}","{'att': 180, 'def': 6}",3,14,0,1,0.29500000000000004,l,2025-10-18 16:30:00,0,0,1,0,-1.575898,228,Fulham
a,1.52001,2.76806,1.52001,2.76806,"{'att': 277, 'def': 29}","{'att': 253, 'def': 28}",3,7,1,2,0.534,l,2025-10-25 14:00:00,0,0,1,0,-1.24805,228,Fulham
h,1.91207,0.209934,1.91207,0.209934,"{'att': 154, 'def': 12}","{'att': 341, 'def': 16}",11,4,3,0,2.6905,w,2025-11-01 15:00:00,1,0,0,3,1.7021359999999999,228,Fulham
a,0.424478,2.30607,0.424478,2.30607,"{'att': 198, 'def': 20}","{'att': 258, 'def': 17}",7,5,0,2,0.21400000000000002,l,2025-11-08 15:00:00,0,0,1,0,-1.881592,228,Fulham
h,2.83729,0.222768,2.83729,0.222768,"{'att': 212, 'def': 15}","{'att': 275, 'def': 21}",17,2,1,0,2.863,w,2025-11-22 15:00:00,1,0,0,3,2.614522,228,Fulham
a,0.494736,1.04396,0.494736,1.04396,"{'att': 289, 'def': 23}","{'att': 194, 'def': 29}",5,3,2,1,0.7629000000000001,w,2025-11-29 20:00:00,1,0,0,3,-0.5492239999999999,228,Fulham
h,0.972635,1.96225,0.972635,1.96225,"{'att': 261, 'def': 26}","{'att': 388, 'def': 22}",6,5,4,5,0.6456,l,2025-12-02 19:30:00,0,0,1,0,-0.989615,228,Fulham
h,0.766771,1.71109,0.766771,1.71109,"{'att': 231, 'def': 19}","{'att': 402, 'def': 19}",5,3,1,2,0.6637,l,2025-12-07 16:30:00,0,0,1,0,-0.944319,228,Fulham
a,1.65053,2.05486,1.65053,2.05486,"{'att': 286, 'def': 12}","{'att': 312, 'def': 23}",7,8,3,2,1.0927,w,2025-12-13 17:30:00,1,0,0,3,-0.4043300000000001,228,Fulham
h,1.70568,0.486296,0.944508,0.486296,"{'att': 283, 'def': 12}","{'att': 304, 'def': 19}",5,7,1,0,2.4221,w,2025-12-22 20:00:00,1,0,0,3,0.458212,228,Fulham
a,1.11436,1.13719,1.11436,1.13719,"{'att': 200, 'def': 20}","{'att': 247, 'def': 20}",5,11,1,0,1.3251,w,2025-12-27 15:00:00,1,0,0,3,-0.022829999999999906,228,Fulham
