h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,id,title
h,2.33007,1.57303,2.33007,1.57303,"{'att': 149, 'def': 17}","{'att': 278, 'def': 24}",9,8,4,2,1.877,w,2025-08-15 19:00:00,1,0,0,3,0.7570400000000002,87,Liverpool
a,0.646559,1.96342,0.646559,1.96342,"{'att': 106, 'def': 14}","{'att': 265, 'def': 22}",6,3,3,2,0.39349999999999996,w,2025-08-25 19:00:00,1,0,0,3,-1.3168609999999998,87,Liverpool
h,0.481404,0.485679,0.481404,0.485679,"{'att': 226, 'def': 15}","{'att': 296, 'def': 23}",4,5,1,0,1.2667,w,2025-08-31 15:30:00,1,0,0,3,-0.004275000000000029,87,Liverpool
a,2.79492,0.168041,2.03375,0.168041,"{'att': 58, 'def': 14}","{'att': 244, 'def': 22}",17,0,1,0,2.9114999999999998,w,2025-09-14 13:00:00,1,0,0,3,1.8657089999999998,87,Liverpool
h,1.06166,0.721371,1.06166,0.721371,"{'att': 153, 'def': 26}","{'att': 260, 'def': 23}",12,9,2,1,1.6665,w,2025-09-20 11:30:00,1,0,0,3,0.34028900000000006,87,Liverpool
a,3.10176,3.53323,3.10176,3.53323,"{'att': 120, 'def': 14}","{'att': 390, 'def': 16}",5,12,1,2,1.1448,l,2025-09-27 14:00:00,0,0,1,0,-0.43147,87,Liverpool
a,2.05981,1.23721,2.05981,1.23721,"{'att': 274, 'def': 16}","{'att': 266, 'def': 20}",9,6,1,2,2.0083,l,2025-10-04 16:30:00,0,0,1,0,0.8226000000000002,87,Liverpool
h,2.60972,2.53117,2.60972,2.53117,"{'att': 122, 'def': 16}","{'att': 244, 'def': 14}",10,6,1,2,1.4439000000000002,l,2025-10-19 15:30:00,0,0,1,0,0.0785499999999999,87,Liverpool
a,2.11838,3.27126,2.11838,2.5101,"{'att': 124, 'def': 20}","{'att': 280, 'def': 20}",10,5,2,3,0.6868,l,2025-10-25 19:00:00,0,0,1,0,-0.39171999999999985,87,Liverpool
h,1.47021,0.43502,1.47021,0.43502,"{'att': 219, 'def': 20}","{'att': 257, 'def': 16}",12,6,2,0,2.2034,w,2025-11-01 20:00:00,1,0,0,3,1.03519,87,Liverpool
a,1.0281,1.59542,1.0281,0.834247,"{'att': 253, 'def': 23}","{'att': 260, 'def': 22}",7,7,0,3,0.8609,l,2025-11-09 16:30:00,0,0,1,0,0.19385300000000005,87,Liverpool
h,1.79273,1.19459,1.79273,1.19459,"{'att': 103, 'def': 22}","{'att': 301, 'def': 13}",11,6,0,3,1.8124,l,2025-11-22 15:00:00,0,0,1,0,0.5981399999999999,87,Liverpool
a,1.56793,0.364152,1.56793,0.364152,"{'att': 195, 'def': 23}","{'att': 318, 'def': 23}",9,4,2,0,2.4242,w,2025-11-30 14:05:00,1,0,0,3,1.203778,87,Liverpool
h,1.37633,0.712662,1.37633,0.712662,"{'att': 161, 'def': 17}","{'att': 290, 'def': 15}",5,3,1,1,1.9108,d,2025-12-03 20:15:00,0,1,0,1,0.663668,87,Liverpool
a,2.04805,1.79333,2.04805,1.03216,"{'att': 223, 'def': 22}","{'att': 241, 'def': 16}",5,4,3,3,1.5317,d,2025-12-06 17:30:00,0,1,0,1,1.01589,87,Liverpool
h,2.4127,1.69004,2.4127,1.69004,"{'att': 293, 'def': 16}","{'att': 296, 'def': 30}",12,8,2,0,1.8756,w,2025-12-13 15:00:00,1,0,0,3,0.7226600000000001,87,Liverpool
a,1.23164,1.34905,1.23164,1.34905,"{'att': 159, 'def': 13}","{'att': 285, 'def': 16}",10,2,2,1,1.2494,w,2025-12-20 17:30:00,1,0,0,3,-0.11741000000000001,87,Liverpool
h,1.56502,0.780664,1.56502,0.780664,"{'att': 171, 'def': 23}","{'att': 295, 'def': 22}",12,2,2,1,2.0151,w,2025-12-27 15:00:00,1,0,0,3,0.784356,87,Liverpool
h,1.67833,0.15936,1.67833,0.15936,"{'att': 150, 'def': 23}","{'att': 280, 'def': 16}",10,1,0,0,2.6571000000000002,d,2026-01-01 17:30:00,0,1,0,1,1.5189700000000002,87,Liverpool
a,1.7188,0.609182,1.7188,0.609182,"{'att': 284, 'def': 14}","{'att': 336, 'def': 18}",8,4,2,2,2.2775,d,2026-01-04 15:00:00,0,1,0,1,1.1096180000000002,87,Liverpool
a,0.318642,0.701832,0.318642,0.701832,"{'att': 211, 'def': 11}","{'att': 281, 'def': 21}",0,10,0,0,0.8744000000000001,d,2026-01-08 20:00:00,0,1,0,1,-0.38319000000000003,87,Liverpool
h,3.49045,0.546971,2.72928,0.546971,"{'att': 118, 'def': 17}","{'att': 282, 'def': 17}",27,5,1,1,2.8823000000000003,d,2026-01-17 15:00:00,0,1,0,1,2.182309,87,Liverpool
a,0.937335,3.31474,0.937335,3.31474,"{'att': 158, 'def': 16}","{'att': 272, 'def': 8}",18,7,2,3,0.1613,l,2026-01-24 17:30:00,0,0,1,0,-2.377405,87,Liverpool
h,3.09973,0.284319,3.09973,0.284319,"{'att': 191, 'def': 19}","{'att': 205, 'def': 12}",11,6,4,1,2.8832,w,2026-01-31 20:00:00,1,0,0,3,2.815411,87,Liverpool
