h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,id,title
h,0.724368,0.558948,0.724368,0.558948,"{'att': 291, 'def': 14}","{'att': 165, 'def': 15}",2,8,3,0,1.48,w,2025-08-16 14:00:00,1,0,0,3,0.16542,77,Sunderland
a,1.12127,1.00381,1.12127,1.00381,"{'att': 247, 'def': 12}","{'att': 324, 'def': 21}",4,4,0,2,1.448,l,2025-08-23 14:00:00,0,0,1,0,0.1174599999999999,77,Sunderland
h,1.57127,1.44604,0.810099,0.684874,"{'att': 197, 'def': 38}","{'att': 237, 'def': 11}",2,4,2,1,1.4156,w,2025-08-30 14:00:00,1,0,0,3,0.12522500000000003,77,Sunderland
a,0.354129,1.75805,0.354129,1.75805,"{'att': 320, 'def': 18}","{'att': 244, 'def': 18}",4,8,0,0,0.31589999999999996,d,2025-09-13 14:00:00,0,1,0,1,-1.403921,77,Sunderland
h,0.938312,0.939354,0.938312,0.939354,"{'att': 227, 'def': 23}","{'att': 112, 'def': 16}",4,16,1,1,1.3236999999999999,d,2025-09-21 13:00:00,0,1,0,1,-0.0010419999999999874,77,Sunderland
a,1.94154,1.4203,1.94154,1.4203,"{'att': 295, 'def': 10}","{'att': 186, 'def': 20}",3,6,1,0,1.7727,w,2025-09-27 16:30:00,1,0,0,3,0.5212400000000001,77,Sunderland
a,0.807119,1.9298,0.807119,1.9298,"{'att': 244, 'def': 25}","{'att': 234, 'def': 23}",3,7,0,2,0.5388,l,2025-10-04 14:00:00,0,0,1,0,-1.122681,77,Sunderland
h,1.02481,0.676323,1.02481,0.676323,"{'att': 255, 'def': 7}","{'att': 157, 'def': 30}",6,11,2,0,1.6885000000000001,w,2025-10-18 14:00:00,1,0,0,3,0.348487,77,Sunderland
a,1.5506,1.21332,1.5506,1.21332,"{'att': 368, 'def': 17}","{'att': 168, 'def': 18}",6,11,2,1,1.6661000000000001,w,2025-10-25 14:00:00,1,0,0,3,0.33728,77,Sunderland
h,1.18068,1.00741,1.18068,1.00741,"{'att': 173, 'def': 21}","{'att': 301, 'def': 13}",7,5,1,1,1.4357000000000002,d,2025-11-03 20:00:00,0,1,0,1,0.17327000000000004,77,Sunderland
h,1.20495,2.32943,1.20495,2.32943,"{'att': 202, 'def': 15}","{'att': 151, 'def': 16}",7,11,2,2,0.6061,d,2025-11-08 17:30:00,0,1,0,1,-1.12448,77,Sunderland
a,0.222768,2.83729,0.222768,2.83729,"{'att': 275, 'def': 21}","{'att': 212, 'def': 15}",2,17,0,1,0.0823,l,2025-11-22 15:00:00,0,0,1,0,-2.614522,77,Sunderland
h,1.16955,1.79274,0.40842,1.79274,"{'att': 198, 'def': 20}","{'att': 139, 'def': 18}",9,9,3,2,0.8139000000000001,w,2025-11-29 15:00:00,1,0,0,3,-1.38432,77,Sunderland
a,0.712662,1.37633,0.712662,1.37633,"{'att': 290, 'def': 15}","{'att': 161, 'def': 17}",3,5,1,1,0.7938999999999999,d,2025-12-03 20:15:00,0,1,0,1,-0.663668,77,Sunderland
a,0.626486,2.41605,0.626486,2.41605,"{'att': 277, 'def': 21}","{'att': 235, 'def': 14}",1,7,0,3,0.2988,l,2025-12-06 15:00:00,0,0,1,0,-1.789564,77,Sunderland
