h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,id,title
h,1.36793,1.03414,1.36793,1.03414,"{'att': 135, 'def': 23}","{'att': 335, 'def': 19}",7,2,0,0,1.6141,d,2025-08-17 13:00:00,0,1,0,1,0.33379000000000003,80,Chelsea
a,3.94997,0.978572,3.94997,0.978572,"{'att': 227, 'def': 19}","{'att': 342, 'def': 13}",5,6,5,1,2.8571000000000004,w,2025-08-22 19:00:00,1,0,0,3,2.9713979999999998,80,Chelsea
h,2.4324,0.736228,1.67123,0.736228,"{'att': 233, 'def': 25}","{'att': 293, 'def': 27}",4,9,2,0,2.5668,w,2025-08-30 11:30:00,1,0,0,3,0.935002,80,Chelsea
a,0.755999,1.17533,0.755999,1.17533,"{'att': 151, 'def': 29}","{'att': 323, 'def': 16}",12,8,2,2,0.9162,d,2025-09-13 19:00:00,0,1,0,1,-0.419331,80,Chelsea
a,0.469843,1.34458,0.469843,1.34458,"{'att': 184, 'def': 14}","{'att': 337, 'def': 26}",5,4,1,2,0.5622,l,2025-09-20 16:30:00,0,0,1,0,-0.8747370000000001,80,Chelsea
h,2.02653,2.4751,2.02653,2.4751,"{'att': 162, 'def': 19}","{'att': 266, 'def': 29}",4,8,1,3,1.0291,l,2025-09-27 14:00:00,0,0,1,0,-0.4485699999999997,80,Chelsea
h,1.23721,2.05981,1.23721,2.05981,"{'att': 266, 'def': 20}","{'att': 274, 'def': 16}",6,9,2,1,0.7363,w,2025-10-04 16:30:00,1,0,0,3,-0.8226000000000002,80,Chelsea
a,2.5583,2.0555,2.5583,2.0555,"{'att': 246, 'def': 29}","{'att': 282, 'def': 19}",6,9,3,0,1.7066999999999999,w,2025-10-18 11:30:00,1,0,0,3,0.5028000000000001,80,Chelsea
h,1.21332,1.5506,1.21332,1.5506,"{'att': 168, 'def': 18}","{'att': 368, 'def': 17}",11,6,1,2,1.0463,l,2025-10-25 14:00:00,0,0,1,0,-0.33728,80,Chelsea
a,3.34251,0.146954,3.34251,0.146954,"{'att': 217, 'def': 31}","{'att': 214, 'def': 25}",13,4,1,0,2.9549999999999996,w,2025-11-01 17:30:00,1,0,0,3,3.195556,80,Chelsea
h,3.98342,0.111462,3.98342,0.111462,"{'att': 198, 'def': 19}","{'att': 306, 'def': 15}",13,1,3,0,2.9846,w,2025-11-08 20:00:00,1,0,0,3,3.8719580000000002,80,Chelsea
a,1.72093,0.660943,1.72093,0.660943,"{'att': 250, 'def': 19}","{'att': 367, 'def': 26}",11,6,2,0,2.2234000000000003,w,2025-11-22 12:30:00,1,0,0,3,1.059987,80,Chelsea
h,0.791914,1.22828,0.791914,1.22828,"{'att': 231, 'def': 20}","{'att': 155, 'def': 20}",2,7,1,1,0.9354,d,2025-11-30 16:30:00,0,1,0,1,-0.43636600000000003,80,Chelsea
a,0.964018,2.2047,0.964018,2.2047,"{'att': 120, 'def': 21}","{'att': 430, 'def': 18}",8,3,1,3,0.47669999999999996,l,2025-12-03 20:15:00,0,0,1,0,-1.2406819999999998,80,Chelsea
a,0.672602,1.41931,0.672602,1.41931,"{'att': 163, 'def': 20}","{'att': 288, 'def': 26}",4,6,0,0,0.6232,d,2025-12-06 15:00:00,0,1,0,1,-0.746708,80,Chelsea
h,2.64457,1.34,2.64457,1.34,"{'att': 188, 'def': 23}","{'att': 380, 'def': 25}",6,4,2,0,2.2369000000000003,w,2025-12-13 15:00:00,1,0,0,3,1.3045699999999998,80,Chelsea
a,1.0261,2.87863,1.0261,2.87863,"{'att': 183, 'def': 20}","{'att': 224, 'def': 27}",7,7,2,2,0.2691,d,2025-12-20 12:30:00,0,1,0,1,-1.8525299999999998,80,Chelsea
h,1.97155,2.05918,1.97155,2.05918,"{'att': 187, 'def': 39}","{'att': 284, 'def': 7}",11,6,1,2,1.2811,l,2025-12-27 17:30:00,0,0,1,0,-0.0876300000000001,80,Chelsea
h,2.33294,3.49142,1.57177,3.49142,"{'att': 119, 'def': 24}","{'att': 253, 'def': 16}",10,8,2,2,0.6411,d,2025-12-30 19:30:00,0,1,0,1,-1.9196500000000003,80,Chelsea
a,2.03726,1.03049,2.03726,1.03049,"{'att': 329, 'def': 25}","{'att': 271, 'def': 33}",2,7,1,1,2.2523,d,2026-01-04 17:30:00,0,1,0,1,1.00677,80,Chelsea
a,2.45107,1.06013,2.45107,1.06013,"{'att': 290, 'def': 23}","{'att': 286, 'def': 27}",5,15,1,2,2.3612,l,2026-01-07 19:30:00,0,0,1,0,1.39094,80,Chelsea
h,1.62263,1.47521,0.861461,1.47521,"{'att': 305, 'def': 17}","{'att': 274, 'def': 26}",1,9,2,0,1.5375999999999999,w,2026-01-17 15:00:00,1,0,0,3,-0.6137489999999999,80,Chelsea
a,3.08817,2.41793,2.327,2.41793,"{'att': 242, 'def': 26}","{'att': 418, 'def': 24}",4,5,3,1,1.8348999999999998,w,2026-01-25 14:00:00,1,0,0,3,-0.09093000000000018,80,Chelsea
