h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,id,title
a,0.558948,0.724368,0.558948,0.724368,"{'att': 165, 'def': 15}","{'att': 291, 'def': 14}",8,2,0,3,1.129,l,2025-08-16 14:00:00,0,0,1,0,-0.16542,81,West Ham
h,0.978572,3.94997,0.978572,3.94997,"{'att': 342, 'def': 13}","{'att': 227, 'def': 19}",6,5,1,5,0.0944,l,2025-08-22 19:00:00,0,0,1,0,-2.9713979999999998,81,West Ham
a,2.236,0.716018,1.47483,0.716018,"{'att': 279, 'def': 13}","{'att': 256, 'def': 26}",5,6,3,0,2.5114,w,2025-08-31 13:00:00,1,0,0,3,0.758812,81,West Ham
h,0.793248,1.51402,0.793248,1.51402,"{'att': 316, 'def': 18}","{'att': 152, 'def': 14}",2,8,0,3,0.7895000000000001,l,2025-09-13 16:30:00,0,0,1,0,-0.720772,81,West Ham
h,0.466365,2.33565,0.466365,2.33565,"{'att': 197, 'def': 23}","{'att': 262, 'def': 11}",5,7,1,2,0.22110000000000002,l,2025-09-20 14:00:00,0,0,1,0,-1.8692849999999999,81,West Ham
a,0.775766,0.909703,0.775766,0.909703,"{'att': 216, 'def': 16}","{'att': 217, 'def': 17}",7,12,1,1,1.2127,d,2025-09-29 19:00:00,0,1,0,1,-0.13393700000000008,81,West Ham
a,0.864549,3.0585,0.864549,2.29733,"{'att': 326, 'def': 13}","{'att': 139, 'def': 33}",3,17,0,2,0.159,l,2025-10-04 14:00:00,0,0,1,0,-1.432781,81,West Ham
h,0.260251,3.46635,0.260251,3.46635,"{'att': 266, 'def': 18}","{'att': 187, 'def': 15}",4,11,0,2,0.045399999999999996,l,2025-10-20 19:00:00,0,0,1,0,-3.206099,81,West Ham
a,0.498653,2.2214,0.498653,2.2214,"{'att': 249, 'def': 26}","{'att': 292, 'def': 27}",4,1,1,2,0.2482,l,2025-10-24 19:00:00,0,0,1,0,-1.722747,81,West Ham
h,1.41383,0.523615,1.41383,0.523615,"{'att': 283, 'def': 12}","{'att': 151, 'def': 17}",3,7,3,1,2.1611,w,2025-11-02 14:00:00,1,0,0,3,0.8902149999999999,81,West Ham
h,2.96728,1.87478,2.96728,1.87478,"{'att': 309, 'def': 20}","{'att': 200, 'def': 19}",4,7,3,2,2.2418,w,2025-11-08 15:00:00,1,0,0,3,1.0925000000000002,81,West Ham
a,0.390782,3.48299,0.390782,2.72182,"{'att': 239, 'def': 11}","{'att': 76, 'def': 33}",3,9,2,2,0.0496,d,2025-11-22 15:00:00,0,1,0,1,-2.331038,81,West Ham
h,0.364152,1.56793,0.364152,1.56793,"{'att': 318, 'def': 23}","{'att': 195, 'def': 23}",4,9,0,2,0.3761,l,2025-11-30 14:05:00,0,0,1,0,-1.203778,81,West Ham
a,1.36584,2.27674,1.36584,2.27674,"{'att': 248, 'def': 24}","{'att': 135, 'def': 25}",8,7,1,1,0.7105999999999999,d,2025-12-04 20:00:00,0,1,0,1,-0.9109000000000003,81,West Ham
a,1.7064,2.10077,1.7064,2.10077,"{'att': 266, 'def': 15}","{'att': 133, 'def': 22}",3,8,1,1,1.1159000000000001,d,2025-12-07 14:00:00,0,1,0,1,-0.3943699999999999,81,West Ham
h,1.27701,0.595093,1.27701,0.595093,"{'att': 348, 'def': 28}","{'att': 228, 'def': 21}",0,3,2,3,2.0064,l,2025-12-14 14:00:00,0,0,1,0,0.681917,81,West Ham
a,1.02143,3.58188,1.02143,3.58188,"{'att': 420, 'def': 22}","{'att': 256, 'def': 33}",2,14,0,3,0.1532,l,2025-12-20 15:00:00,0,0,1,0,-2.56045,81,West Ham
h,1.13719,1.11436,1.13719,1.11436,"{'att': 247, 'def': 20}","{'att': 200, 'def': 20}",11,5,0,1,1.3638,l,2025-12-27 15:00:00,0,0,1,0,0.022829999999999906,81,West Ham
h,2.27644,3.08914,1.51527,1.56681,"{'att': 305, 'def': 21}","{'att': 178, 'def': 26}",5,5,2,2,0.8082,d,2025-12-30 19:30:00,0,1,0,1,-0.05154000000000014,81,West Ham
a,0.235678,2.23925,0.235678,1.47808,"{'att': 167, 'def': 32}","{'att': 336, 'def': 12}",6,2,0,3,0.1111,l,2026-01-03 15:00:00,0,0,1,0,-1.242402,81,West Ham
h,1.73697,1.26683,1.73697,0.505666,"{'att': 189, 'def': 19}","{'att': 180, 'def': 15}",7,8,1,2,1.7281999999999997,l,2026-01-06 20:00:00,0,0,1,0,1.231304,81,West Ham
a,2.76761,1.65292,2.76761,1.65292,"{'att': 241, 'def': 20}","{'att': 168, 'def': 29}",3,11,2,1,2.1685,w,2026-01-17 15:00:00,1,0,0,3,1.11469,81,West Ham
h,2.18675,0.713838,1.42558,0.713838,"{'att': 251, 'def': 18}","{'att': 189, 'def': 22}",5,1,3,1,2.4935,w,2026-01-24 12:30:00,1,0,0,3,0.7117420000000001,81,West Ham
a,1.72585,2.66133,1.72585,2.66133,"{'att': 388, 'def': 12}","{'att': 131, 'def': 26}",6,6,2,3,0.7209,l,2026-01-31 17:30:00,0,0,1,0,-0.9354799999999999,81,West Ham
