h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,id,title
a,1.32516,1.7555,0.563994,1.7555,"{'att': 167, 'def': 17}","{'att': 234, 'def': 21}",3,6,1,3,1.0148000000000001,l,2025-08-17 13:00:00,0,0,1,0,-1.191506,244,Brentford
h,1.12964,0.976852,1.12964,0.976852,"{'att': 302, 'def': 28}","{'att': 92, 'def': 17}",2,14,1,0,1.5385,w,2025-08-23 14:00:00,1,0,0,3,0.15278799999999992,244,Brentford
a,1.44604,1.57127,0.684874,0.810099,"{'att': 237, 'def': 11}","{'att': 197, 'def': 38}",4,2,1,2,1.2650000000000001,l,2025-08-30 14:00:00,0,0,1,0,-0.12522500000000003,244,Brentford
h,1.17533,0.755999,1.17533,0.755999,"{'att': 323, 'def': 16}","{'att': 151, 'def': 29}",8,12,2,2,1.7843999999999998,d,2025-09-13 19:00:00,0,1,0,1,0.419331,244,Brentford
a,0.826556,1.52431,0.826556,1.52431,"{'att': 283, 'def': 21}","{'att': 258, 'def': 13}",3,5,1,3,0.7894999999999999,l,2025-09-20 19:00:00,0,0,1,0,-0.6977540000000001,244,Brentford
h,2.78726,2.23609,2.78726,1.47492,"{'att': 293, 'def': 25}","{'att': 194, 'def': 16}",6,1,3,1,1.7845,w,2025-09-27 11:30:00,1,0,0,3,1.3123399999999998,244,Brentford
h,0.693758,1.09647,0.693758,1.09647,"{'att': 399, 'def': 30}","{'att': 189, 'def': 14}",2,9,0,1,0.9858,l,2025-10-05 15:30:00,0,0,1,0,-0.40271200000000007,244,Brentford
a,3.46635,0.260251,3.46635,0.260251,"{'att': 187, 'def': 15}","{'att': 266, 'def': 18}",11,4,2,0,2.926,w,2025-10-20 19:00:00,1,0,0,3,3.206099,244,Brentford
h,3.27126,2.11838,2.5101,2.11838,"{'att': 280, 'def': 20}","{'att': 124, 'def': 20}",5,10,3,2,2.1265,w,2025-10-25 19:00:00,1,0,0,3,0.39171999999999985,244,Brentford
a,0.820498,0.734558,0.820498,0.734558,"{'att': 128, 'def': 22}","{'att': 310, 'def': 16}",8,5,0,2,1.4138,l,2025-11-01 15:00:00,0,0,1,0,0.0859399999999999,244,Brentford
h,2.73729,0.432277,1.97612,0.432277,"{'att': 252, 'def': 21}","{'att': 211, 'def': 19}",7,2,3,1,2.8235,w,2025-11-09 14:00:00,1,0,0,3,1.543843,244,Brentford
a,2.19979,0.977488,0.677448,0.977488,"{'att': 348, 'def': 20}","{'att': 187, 'def': 25}",7,10,1,2,2.3872,l,2025-11-22 15:00:00,0,0,1,0,-0.30004,244,Brentford
h,3.72106,0.874025,2.9599,0.112856,"{'att': 205, 'def': 14}","{'att': 226, 'def': 19}",5,1,3,1,2.8943,w,2025-11-29 15:00:00,1,0,0,3,2.8470440000000004,244,Brentford
a,0.588716,2.63126,0.588716,2.63126,"{'att': 281, 'def': 18}","{'att': 187, 'def': 27}",3,4,0,2,0.19740000000000002,l,2025-12-03 19:30:00,0,0,1,0,-2.0425440000000004,244,Brentford
a,0.470563,2.42388,0.470563,2.42388,"{'att': 201, 'def': 18}","{'att': 203, 'def': 24}",8,8,0,2,0.17420000000000002,l,2025-12-06 15:00:00,0,0,1,0,-1.953317,244,Brentford
h,0.697006,1.63409,0.697006,1.63409,"{'att': 173, 'def': 20}","{'att': 293, 'def': 16}",6,9,1,1,0.6105,d,2025-12-14 16:30:00,0,1,0,1,-0.937084,244,Brentford
a,1.56309,1.26823,1.56309,0.507064,"{'att': 187, 'def': 30}","{'att': 293, 'def': 22}",9,6,2,0,1.5776000000000001,w,2025-12-20 15:00:00,1,0,0,3,1.0560260000000001,244,Brentford
h,2.8513,2.56183,2.8513,2.56183,"{'att': 166, 'def': 20}","{'att': 206, 'def': 30}",9,5,4,1,1.5703,w,2025-12-27 15:00:00,1,0,0,3,0.2894700000000001,244,Brentford
h,0.556304,0.608309,0.556304,0.608309,"{'att': 213, 'def': 28}","{'att': 303, 'def': 16}",3,7,0,0,1.2242,d,2026-01-01 20:00:00,0,1,0,1,-0.05200499999999997,244,Brentford
a,3.05179,1.00566,3.05179,1.00566,"{'att': 184, 'def': 20}","{'att': 286, 'def': 26}",5,5,4,2,2.5972,w,2026-01-04 15:00:00,1,0,0,3,2.04613,244,Brentford
