h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,id,title
a,0.734138,1.97858,0.734138,1.97858,"{'att': 295, 'def': 17}","{'att': 108, 'def': 17}",6,7,0,3,0.4918,l,2025-08-16 14:00:00,0,0,1,0,-1.244442,92,Burnley
h,1.00381,1.12127,1.00381,1.12127,"{'att': 324, 'def': 21}","{'att': 247, 'def': 12}",4,4,2,0,1.2227,w,2025-08-23 14:00:00,1,0,0,3,-0.1174599999999999,92,Burnley
a,1.32618,4.02237,1.32618,3.2612,"{'att': 272, 'def': 17}","{'att': 167, 'def': 11}",3,8,2,3,0.136,l,2025-08-30 14:00:00,0,0,1,0,-1.9350200000000002,92,Burnley
h,0.168041,2.79492,0.168041,2.03375,"{'att': 244, 'def': 22}","{'att': 58, 'def': 14}",0,17,0,1,0.0498,l,2025-09-14 13:00:00,0,0,1,0,-1.8657089999999998,92,Burnley
h,1.14159,0.830779,1.14159,0.830779,"{'att': 340, 'def': 18}","{'att': 191, 'def': 21}",4,10,1,1,1.6359,d,2025-09-20 14:00:00,0,1,0,1,0.31081100000000006,92,Burnley
a,0.509491,3.22133,0.509491,3.22133,"{'att': 275, 'def': 16}","{'att': 176, 'def': 11}",4,15,1,5,0.0959,l,2025-09-27 14:00:00,0,0,1,0,-2.711839,92,Burnley
a,0.502292,1.73572,0.502292,1.73572,"{'att': 328, 'def': 42}","{'att': 229, 'def': 18}",1,8,1,2,0.4577,l,2025-10-05 13:00:00,0,0,1,0,-1.233428,92,Burnley
h,0.509647,2.33152,0.509647,2.33152,"{'att': 332, 'def': 21}","{'att': 164, 'def': 21}",2,8,2,0,0.22310000000000002,w,2025-10-18 14:00:00,1,0,0,3,-1.8218729999999999,92,Burnley
a,1.54544,2.58132,1.54544,1.82015,"{'att': 262, 'def': 18}","{'att': 213, 'def': 24}",5,10,3,2,0.6457999999999999,w,2025-10-26 13:00:00,1,0,0,3,-0.27471,92,Burnley
h,0.679177,2.51649,0.679177,2.51649,"{'att': 311, 'def': 20}","{'att': 231, 'def': 19}",3,9,0,2,0.2319,l,2025-11-01 15:00:00,0,0,1,0,-1.837313,92,Burnley
a,1.87478,2.96728,1.87478,2.96728,"{'att': 200, 'def': 19}","{'att': 309, 'def': 20}",7,4,2,3,0.5509999999999999,l,2025-11-08 15:00:00,0,0,1,0,-1.0925000000000002,92,Burnley
h,0.660943,1.72093,0.660943,1.72093,"{'att': 367, 'def': 26}","{'att': 250, 'def': 19}",6,11,0,2,0.5518000000000001,l,2025-11-22 12:30:00,0,0,1,0,-1.059987,92,Burnley
a,0.874025,3.72106,0.112856,2.9599,"{'att': 226, 'def': 19}","{'att': 205, 'def': 14}",1,5,1,3,0.0638,l,2025-11-29 15:00:00,0,0,1,0,-2.8470440000000004,92,Burnley
h,1.16852,0.987797,1.16852,0.987797,"{'att': 244, 'def': 25}","{'att': 347, 'def': 14}",9,4,0,1,1.4739,l,2025-12-03 19:30:00,0,0,1,0,0.18072299999999997,92,Burnley
a,1.58375,1.80708,0.822586,1.04591,"{'att': 297, 'def': 13}","{'att': 129, 'def': 18}",2,13,1,2,1.1873999999999998,l,2025-12-06 15:00:00,0,0,1,0,-0.22332399999999986,92,Burnley
h,2.05486,1.65053,2.05486,1.65053,"{'att': 312, 'def': 23}","{'att': 286, 'def': 12}",8,7,2,3,1.6566999999999998,l,2025-12-13 17:30:00,0,0,1,0,0.4043300000000001,92,Burnley
a,0.480528,1.81847,0.480528,1.81847,"{'att': 233, 'def': 22}","{'att': 121, 'def': 22}",3,12,1,1,0.34109999999999996,d,2025-12-20 15:00:00,0,1,0,1,-1.337942,92,Burnley
h,1.24948,1.25204,1.24948,1.25204,"{'att': 177, 'def': 21}","{'att': 244, 'def': 21}",4,6,0,0,1.3078,d,2025-12-27 15:00:00,0,1,0,1,-0.0025600000000001177,92,Burnley
h,1.32551,2.49248,1.32551,2.49248,"{'att': 282, 'def': 23}","{'att': 230, 'def': 20}",11,7,1,3,0.583,l,2025-12-30 19:30:00,0,0,1,0,-1.16697,92,Burnley
a,0.254551,1.4717,0.254551,1.4717,"{'att': 412, 'def': 29}","{'att': 233, 'def': 19}",1,6,0,2,0.37870000000000004,l,2026-01-03 15:00:00,0,0,1,0,-1.217149,92,Burnley
h,0.31971,2.52488,0.31971,2.52488,"{'att': 307, 'def': 26}","{'att': 150, 'def': 18}",1,13,2,2,0.1727,d,2026-01-07 20:15:00,0,1,0,1,-2.20517,92,Burnley
a,0.546971,3.49045,0.546971,2.72928,"{'att': 282, 'def': 17}","{'att': 118, 'def': 17}",5,27,1,1,0.0767,d,2026-01-17 15:00:00,0,1,0,1,-2.182309,92,Burnley
h,1.54884,2.59093,1.54884,2.59093,"{'att': 340, 'def': 29}","{'att': 203, 'def': 27}",5,4,2,2,0.6716,d,2026-01-24 15:00:00,0,1,0,1,-1.0420900000000002,92,Burnley
a,0.126371,1.8865,0.126371,1.8865,"{'att': 246, 'def': 23}","{'att': 295, 'def': 15}",2,7,0,3,0.14429999999999998,l,2026-02-02 20:00:00,0,0,1,0,-1.760129,92,Burnley
h,1.84644,1.1223,1.84644,1.1223,"{'att': 263, 'def': 23}","{'att': 217, 'def': 15}",6,4,0,2,1.9272,l,2026-02-07 15:00:00,0,0,1,0,0.72414,92,Burnley
a,0.691273,2.1276,0.691273,2.1276,"{'att': 318, 'def': 17}","{'att': 146, 'def': 19}",5,15,3,2,0.4368,w,2026-02-11 19:30:00,1,0,0,3,-1.4363270000000001,92,Burnley
a,1.01255,2.51534,1.01255,2.51534,"{'att': 297, 'def': 19}","{'att': 169, 'def': 22}",4,12,1,1,0.38570000000000004,d,2026-02-21 15:00:00,0,1,0,1,-1.50279,92,Burnley
