h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,id,title
h,2.3812,0.674338,1.62003,0.674338,"{'att': 251, 'def': 16}","{'att': 275, 'def': 10}",5,2,1,0,2.5742000000000003,w,2025-08-18 19:00:00,1,0,0,3,0.9456920000000001,245,Leeds
a,0.156761,2.73761,0.156761,1.97644,"{'att': 418, 'def': 15}","{'att': 175, 'def': 22}",1,5,0,5,0.0513,l,2025-08-23 16:30:00,0,0,1,0,-1.819679,245,Leeds
h,0.6773,0.303635,0.6773,0.303635,"{'att': 327, 'def': 22}","{'att': 236, 'def': 21}",5,5,0,0,1.6758,d,2025-08-30 16:30:00,0,1,0,1,0.373665,245,Leeds
a,0.830398,1.13979,0.830398,1.13979,"{'att': 242, 'def': 18}","{'att': 218, 'def': 23}",5,4,0,1,1.0121,l,2025-09-13 14:00:00,0,0,1,0,-0.3093920000000001,245,Leeds
a,0.456988,1.5661,0.456988,1.5661,"{'att': 277, 'def': 21}","{'att': 274, 'def': 25}",7,10,3,1,0.48339999999999994,w,2025-09-20 14:00:00,1,0,0,3,-1.109112,245,Leeds
h,2.04728,1.06033,2.04728,1.06033,"{'att': 262, 'def': 26}","{'att': 210, 'def': 25}",3,9,2,2,2.0964,d,2025-09-27 14:00:00,0,1,0,1,0.9869500000000002,245,Leeds
h,1.48051,0.688198,1.48051,0.688198,"{'att': 195, 'def': 18}","{'att': 285, 'def': 19}",6,4,1,2,2.0633,l,2025-10-04 11:30:00,0,0,1,0,0.792312,245,Leeds
a,2.33152,0.509647,2.33152,0.509647,"{'att': 164, 'def': 21}","{'att': 332, 'def': 21}",8,2,0,2,2.6492,l,2025-10-18 14:00:00,0,0,1,0,1.8218729999999999,245,Leeds
h,2.2214,0.498653,2.2214,0.498653,"{'att': 292, 'def': 27}","{'att': 249, 'def': 26}",1,4,2,1,2.6272,w,2025-10-24 19:00:00,1,0,0,3,1.722747,245,Leeds
a,0.35919,2.64127,0.35919,2.64127,"{'att': 339, 'def': 15}","{'att': 311, 'def': 21}",2,7,0,3,0.1109,l,2025-11-01 15:00:00,0,0,1,0,-2.28208,245,Leeds
a,0.419461,2.49097,0.419461,1.72981,"{'att': 187, 'def': 20}","{'att': 273, 'def': 18}",3,4,1,3,0.1457,l,2025-11-09 14:00:00,0,0,1,0,-1.310349,245,Leeds
h,1.84668,1.35978,1.84668,1.35978,"{'att': 264, 'def': 36}","{'att': 215, 'def': 18}",5,5,1,2,1.7718,l,2025-11-23 14:00:00,0,0,1,0,0.4869000000000001,245,Leeds
a,1.75142,2.85292,0.840267,2.85292,"{'att': 251, 'def': 30}","{'att': 209, 'def': 17}",4,12,2,3,0.6177,l,2025-11-29 15:00:00,0,0,1,0,-2.0126530000000002,245,Leeds
h,2.2047,0.964018,2.2047,0.964018,"{'att': 430, 'def': 18}","{'att': 120, 'def': 21}",3,8,3,1,2.3367,w,2025-12-03 20:15:00,1,0,0,3,1.2406819999999998,245,Leeds
h,1.79333,2.04805,1.03216,2.04805,"{'att': 241, 'def': 16}","{'att': 223, 'def': 22}",4,5,3,3,1.214,d,2025-12-06 17:30:00,0,1,0,1,-1.01589,245,Leeds
a,1.63409,0.697006,1.63409,0.697006,"{'att': 293, 'def': 16}","{'att': 173, 'def': 20}",9,6,1,1,2.1303,d,2025-12-14 16:30:00,0,1,0,1,0.937084,245,Leeds
h,2.90786,1.53058,2.90786,0.769407,"{'att': 199, 'def': 19}","{'att': 254, 'def': 29}",7,5,4,1,2.3453999999999997,w,2025-12-20 20:00:00,1,0,0,3,2.138453,245,Leeds
a,2.60653,0.805957,2.60653,0.805957,"{'att': 217, 'def': 22}","{'att': 305, 'def': 15}",16,5,1,1,2.5662,d,2025-12-28 14:00:00,0,1,0,1,1.8005729999999998,245,Leeds
a,0.15936,1.67833,0.15936,1.67833,"{'att': 280, 'def': 16}","{'att': 150, 'def': 23}",1,10,0,0,0.1995,d,2026-01-01 17:30:00,0,1,0,1,-1.5189700000000002,245,Leeds
h,0.970138,1.94781,0.970138,1.94781,"{'att': 309, 'def': 35}","{'att': 210, 'def': 20}",11,8,1,1,0.6536000000000001,d,2026-01-04 12:30:00,0,1,0,1,-0.9776720000000001,245,Leeds
a,2.35318,2.43495,1.59201,1.67378,"{'att': 328, 'def': 30}","{'att': 163, 'def': 20}",5,8,3,4,1.2912,l,2026-01-07 20:15:00,0,0,1,0,-0.08177000000000012,245,Leeds
h,2.16898,0.258796,2.16898,0.258796,"{'att': 326, 'def': 19}","{'att': 236, 'def': 20}",5,4,1,0,2.7083,w,2026-01-17 15:00:00,1,0,0,3,1.9101839999999999,245,Leeds
