h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,id,title
a,1.40098,0.318601,1.40098,0.318601,"{'att': 146, 'def': 24}","{'att': 227, 'def': 12}",6,2,0,0,2.3370999999999995,d,2025-08-16 11:30:00,0,1,0,1,1.082379,86,Newcastle United
h,1.96342,0.646559,1.96342,0.646559,"{'att': 265, 'def': 22}","{'att': 106, 'def': 14}",3,6,2,3,2.4272,l,2025-08-25 19:00:00,0,0,1,0,1.3168609999999998,86,Newcastle United
a,0.303635,0.6773,0.303635,0.6773,"{'att': 236, 'def': 21}","{'att': 327, 'def': 22}",5,5,0,0,0.8724,d,2025-08-30 16:30:00,0,1,0,1,-0.373665,86,Newcastle United
h,1.19186,0.375942,1.19186,0.375942,"{'att': 169, 'def': 16}","{'att': 217, 'def': 24}",12,3,1,0,2.1553,w,2025-09-13 14:00:00,1,0,0,3,0.8159179999999999,86,Newcastle United
a,0.153629,0.55066,0.153629,0.55066,"{'att': 279, 'def': 17}","{'att': 184, 'def': 22}",6,4,0,0,0.7742,d,2025-09-21 13:00:00,0,1,0,1,-0.397031,86,Newcastle United
h,0.739851,2.07048,0.739851,2.07048,"{'att': 247, 'def': 15}","{'att': 145, 'def': 20}",4,13,1,2,0.474,l,2025-09-28 15:30:00,0,0,1,0,-1.3306289999999998,86,Newcastle United
h,3.81662,0.337689,3.05545,0.337689,"{'att': 264, 'def': 33}","{'att': 232, 'def': 21}",13,4,2,0,2.9546,w,2025-10-05 13:00:00,1,0,0,3,2.717761,86,Newcastle United
a,1.28313,0.857104,1.28313,0.857104,"{'att': 241, 'def': 25}","{'att': 295, 'def': 22}",9,8,1,2,1.7094,l,2025-10-18 14:00:00,0,0,1,0,0.4260260000000001,86,Newcastle United
h,2.76806,1.52001,2.76806,1.52001,"{'att': 253, 'def': 28}","{'att': 277, 'def': 29}",7,3,2,1,2.2806,w,2025-10-25 14:00:00,1,0,0,3,1.24805,86,Newcastle United
a,0.523615,1.41383,0.523615,1.41383,"{'att': 151, 'def': 17}","{'att': 283, 'def': 12}",7,3,1,3,0.5843,l,2025-11-02 14:00:00,0,0,1,0,-0.8902149999999999,86,Newcastle United
a,0.432277,2.73729,0.432277,1.97612,"{'att': 211, 'def': 19}","{'att': 252, 'def': 21}",2,7,1,3,0.1112,l,2025-11-09 14:00:00,0,0,1,0,-1.543843,86,Newcastle United
h,2.40555,2.45648,2.40555,2.45648,"{'att': 257, 'def': 22}","{'att': 139, 'def': 18}",4,16,2,1,1.3791,w,2025-11-22 17:30:00,1,0,0,3,-0.05093000000000014,86,Newcastle United
a,2.45882,1.01125,2.45882,1.01125,"{'att': 260, 'def': 12}","{'att': 343, 'def': 23}",8,13,4,1,2.3653,w,2025-11-29 17:30:00,1,0,0,3,1.4475699999999998,86,Newcastle United
h,1.88558,1.05205,1.12441,1.05205,"{'att': 194, 'def': 25}","{'att': 259, 'def': 20}",5,4,2,2,1.9952999999999999,d,2025-12-02 20:15:00,0,1,0,1,0.07235999999999998,86,Newcastle United
h,1.80708,1.58375,1.04591,0.822586,"{'att': 129, 'def': 18}","{'att': 297, 'def': 13}",13,2,2,1,1.518,w,2025-12-06 15:00:00,1,0,0,3,0.22332399999999986,86,Newcastle United
a,0.169329,0.630045,0.169329,0.630045,"{'att': 167, 'def': 16}","{'att': 268, 'def': 23}",4,5,0,1,0.7123,l,2025-12-14 14:00:00,0,0,1,0,-0.46071599999999996,86,Newcastle United
h,2.87863,1.0261,2.87863,1.0261,"{'att': 224, 'def': 27}","{'att': 183, 'def': 20}",7,7,2,2,2.6139,d,2025-12-20 12:30:00,0,1,0,1,1.8525299999999998,86,Newcastle United
a,1.12998,0.940811,1.12998,0.940811,"{'att': 185, 'def': 24}","{'att': 297, 'def': 18}",9,1,0,1,1.4795,l,2025-12-26 20:00:00,0,0,1,0,0.18916900000000003,86,Newcastle United
a,2.49248,1.32551,2.49248,1.32551,"{'att': 230, 'def': 20}","{'att': 282, 'def': 23}",7,11,3,1,2.2210000000000005,w,2025-12-30 19:30:00,1,0,0,3,1.16697,86,Newcastle United
h,2.72764,1.27825,2.72764,1.27825,"{'att': 147, 'def': 16}","{'att': 278, 'def': 30}",10,9,2,0,2.412,w,2026-01-04 15:00:00,1,0,0,3,1.44939,86,Newcastle United
h,2.43495,2.35318,1.67378,1.59201,"{'att': 163, 'def': 20}","{'att': 328, 'def': 30}",8,5,4,3,1.4559000000000002,w,2026-01-07 20:15:00,1,0,0,3,0.08177000000000012,86,Newcastle United
a,0.813313,0.390216,0.813313,0.390216,"{'att': 152, 'def': 20}","{'att': 325, 'def': 13}",7,5,0,0,1.7229,d,2026-01-18 14:00:00,0,1,0,1,0.42309699999999995,86,Newcastle United
h,1.95484,1.32143,1.95484,1.32143,"{'att': 144, 'def': 22}","{'att': 271, 'def': 24}",4,6,0,2,1.8803999999999998,l,2026-01-25 14:00:00,0,0,1,0,0.6334099999999998,86,Newcastle United
a,0.284319,3.09973,0.284319,3.09973,"{'att': 205, 'def': 12}","{'att': 191, 'def': 19}",6,11,1,4,0.07250000000000001,l,2026-01-31 20:00:00,0,0,1,0,-2.815411,86,Newcastle United
h,3.3215,1.65022,2.56033,0.889048,"{'att': 208, 'def': 12}","{'att': 221, 'def': 20}",8,11,2,3,2.4699999999999998,l,2026-02-07 17:30:00,0,0,1,0,1.6712820000000002,86,Newcastle United
a,2.46991,1.68925,2.46991,1.68925,"{'att': 227, 'def': 27}","{'att': 162, 'def': 22}",11,9,2,1,1.9274,w,2026-02-10 19:30:00,1,0,0,3,0.7806600000000001,86,Newcastle United
