h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,id,title
a,0.674338,2.3812,0.674338,1.62003,"{'att': 275, 'def': 10}","{'att': 251, 'def': 16}",2,5,0,1,0.2864,l,2025-08-18 19:00:00,0,0,1,0,-0.9456920000000001,72,Everton
h,1.80116,2.08487,1.80116,1.3237,"{'att': 301, 'def': 17}","{'att': 165, 'def': 19}",5,8,2,0,1.1070000000000002,w,2025-08-24 13:00:00,1,0,0,3,0.47746,72,Everton
a,2.03791,0.943257,2.03791,0.943257,"{'att': 311, 'def': 26}","{'att': 158, 'def': 27}",11,5,3,2,2.2217000000000002,w,2025-08-30 14:00:00,1,0,0,3,1.094653,72,Everton
h,1.8927,0.354327,1.8927,0.354327,"{'att': 191, 'def': 27}","{'att': 159, 'def': 19}",10,3,0,0,2.5199,d,2025-09-13 14:00:00,0,1,0,1,1.538373,72,Everton
a,0.721371,1.06166,0.721371,1.06166,"{'att': 260, 'def': 23}","{'att': 153, 'def': 26}",9,12,1,2,1.0035,l,2025-09-20 11:30:00,0,0,1,0,-0.34028900000000006,72,Everton
h,0.909703,0.775766,0.909703,0.775766,"{'att': 217, 'def': 17}","{'att': 216, 'def': 16}",12,7,1,1,1.4394999999999998,d,2025-09-29 19:00:00,0,1,0,1,0.13393700000000008,72,Everton
h,2.13876,2.17789,1.37759,2.17789,"{'att': 269, 'def': 29}","{'att': 245, 'def': 36}",5,6,2,1,1.3515,w,2025-10-05 13:00:00,1,0,0,3,-0.8003,72,Everton
a,0.794622,2.4799,0.794622,2.4799,"{'att': 434, 'def': 26}","{'att': 157, 'def': 18}",4,15,0,2,0.3247,l,2025-10-18 14:00:00,0,0,1,0,-1.6852780000000003,72,Everton
h,1.4032,2.09327,1.4032,2.09327,"{'att': 255, 'def': 19}","{'att': 221, 'def': 13}",6,3,0,3,0.831,l,2025-10-26 15:30:00,0,0,1,0,-0.69007,72,Everton
a,1.00741,1.18068,1.00741,1.18068,"{'att': 301, 'def': 13}","{'att': 173, 'def': 21}",5,7,1,1,1.244,d,2025-11-03 20:00:00,0,1,0,1,-0.17327000000000004,72,Everton
h,2.30607,0.424478,2.30607,0.424478,"{'att': 258, 'def': 17}","{'att': 198, 'def': 20}",5,7,2,0,2.6755,w,2025-11-08 15:00:00,1,0,0,3,1.881592,72,Everton
a,0.155063,2.2737,0.155063,2.2737,"{'att': 258, 'def': 9}","{'att': 105, 'def': 22}",2,15,1,0,0.13390000000000002,w,2025-11-24 20:00:00,1,0,0,3,-2.1186369999999997,72,Everton
h,1.01125,2.45882,1.01125,2.45882,"{'att': 343, 'def': 23}","{'att': 260, 'def': 12}",13,8,1,4,0.4603,l,2025-11-29 17:30:00,0,0,1,0,-1.4475699999999998,72,Everton
