h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,id,title
a,1.3304,1.37653,1.3304,1.37653,"{'att': 259, 'def': 23}","{'att': 166, 'def': 21}",3,7,1,0,1.3628,w,2025-08-17 15:30:00,1,0,0,3,-0.046130000000000004,83,Arsenal
h,2.73761,0.156761,1.97644,0.156761,"{'att': 175, 'def': 22}","{'att': 418, 'def': 15}",5,1,5,0,2.9097,w,2025-08-23 16:30:00,1,0,0,3,1.819679,83,Arsenal
a,0.485679,0.481404,0.485679,0.481404,"{'att': 296, 'def': 23}","{'att': 226, 'def': 15}",5,4,0,1,1.2709,l,2025-08-31 15:30:00,0,0,1,0,0.004275000000000029,83,Arsenal
h,2.8817,0.293681,2.8817,0.293681,"{'att': 219, 'def': 20}","{'att': 291, 'def': 20}",10,1,3,0,2.8737,w,2025-09-13 11:30:00,1,0,0,3,2.588019,83,Arsenal
h,0.718575,1.1227,0.718575,1.1227,"{'att': 150, 'def': 22}","{'att': 323, 'def': 19}",10,3,1,1,0.9305000000000001,d,2025-09-21 15:30:00,0,1,0,1,-0.40412500000000007,83,Arsenal
a,2.07048,0.739851,2.07048,0.739851,"{'att': 145, 'def': 20}","{'att': 247, 'def': 15}",13,4,2,1,2.3387999999999995,w,2025-09-28 15:30:00,1,0,0,3,1.3306289999999998,83,Arsenal
h,3.0585,0.864549,2.29733,0.864549,"{'att': 139, 'def': 33}","{'att': 326, 'def': 13}",17,3,2,0,2.7519,w,2025-10-04 14:00:00,1,0,0,3,1.432781,83,Arsenal
a,2.07823,0.502332,2.07823,0.502332,"{'att': 180, 'def': 6}","{'att': 291, 'def': 16}",14,3,1,0,2.5627,w,2025-10-18 16:30:00,1,0,0,3,1.575898,83,Arsenal
h,0.856175,0.350534,0.856175,0.350534,"{'att': 211, 'def': 17}","{'att': 311, 'def': 11}",5,1,1,0,1.8296999999999999,w,2025-10-26 13:00:00,1,0,0,3,0.505641,83,Arsenal
a,2.51649,0.679177,2.51649,0.679177,"{'att': 231, 'def': 19}","{'att': 311, 'def': 20}",9,3,2,0,2.64,w,2025-11-01 15:00:00,1,0,0,3,1.837313,83,Arsenal
a,2.32943,1.20495,2.32943,1.20495,"{'att': 151, 'def': 16}","{'att': 202, 'def': 15}",11,7,2,2,2.1799,d,2025-11-08 17:30:00,0,1,0,1,1.12448,83,Arsenal
h,2.27827,0.0300672,2.27827,0.0300672,"{'att': 214, 'def': 34}","{'att': 242, 'def': 18}",13,2,4,1,2.8482,w,2025-11-23 16:30:00,1,0,0,3,2.2482028,83,Arsenal
a,1.22828,0.791914,1.22828,0.791914,"{'att': 155, 'def': 20}","{'att': 231, 'def': 20}",7,2,1,1,1.7576999999999998,d,2025-11-30 16:30:00,0,1,0,1,0.43636600000000003,83,Arsenal
h,2.63126,0.588716,2.63126,0.588716,"{'att': 187, 'def': 27}","{'att': 281, 'def': 18}",4,3,2,0,2.694,w,2025-12-03 19:30:00,1,0,0,3,2.0425440000000004,83,Arsenal
a,1.85965,2.71986,1.85965,2.71986,"{'att': 212, 'def': 22}","{'att': 229, 'def': 17}",9,11,1,2,0.8340000000000001,l,2025-12-06 12:30:00,0,0,1,0,-0.8602100000000001,83,Arsenal
h,1.61796,0.61997,1.61796,0.61997,"{'att': 113, 'def': 12}","{'att': 228, 'def': 15}",12,3,2,1,2.1571000000000002,w,2025-12-13 20:00:00,1,0,0,3,0.99799,83,Arsenal
a,1.84723,0.213273,1.08606,0.213273,"{'att': 194, 'def': 14}","{'att': 410, 'def': 17}",13,0,1,0,2.7131,w,2025-12-20 20:00:00,1,0,0,3,0.872787,83,Arsenal
h,2.54318,0.710064,2.54318,0.710064,"{'att': 236, 'def': 17}","{'att': 249, 'def': 23}",8,6,2,1,2.5946,w,2025-12-27 15:00:00,1,0,0,3,1.833116,83,Arsenal
