h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,id,title
a,1.03414,1.36793,1.03414,1.36793,"{'att': 335, 'def': 19}","{'att': 135, 'def': 23}",2,7,0,0,1.093,d,2025-08-17 13:00:00,0,1,0,1,-0.33379000000000003,78,Crystal Palace
h,1.10188,1.32987,1.10188,1.32987,"{'att': 294, 'def': 23}","{'att': 197, 'def': 19}",6,4,1,1,1.1537,d,2025-08-24 13:00:00,0,1,0,1,-0.22799000000000014,78,Crystal Palace
a,2.59713,1.20586,1.83596,1.20586,"{'att': 288, 'def': 15}","{'att': 222, 'def': 21}",5,6,3,0,2.4577999999999998,w,2025-08-31 18:00:00,1,0,0,3,0.6301000000000001,78,Crystal Palace
h,1.75805,0.354129,1.75805,0.354129,"{'att': 244, 'def': 18}","{'att': 320, 'def': 18}",8,4,0,0,2.5155,d,2025-09-13 14:00:00,0,1,0,1,1.403921,78,Crystal Palace
a,2.33565,0.466365,2.33565,0.466365,"{'att': 262, 'def': 11}","{'att': 197, 'def': 23}",7,5,2,1,2.6628,w,2025-09-20 14:00:00,1,0,0,3,1.8692849999999999,78,Crystal Palace
h,3.53323,3.10176,3.53323,3.10176,"{'att': 390, 'def': 16}","{'att': 120, 'def': 14}",12,5,2,1,1.6584,w,2025-09-27 14:00:00,1,0,0,3,0.43147,78,Crystal Palace
a,2.17789,2.13876,2.17789,1.37759,"{'att': 245, 'def': 36}","{'att': 269, 'def': 29}",6,5,1,2,1.3839,l,2025-10-05 13:00:00,0,0,1,0,0.8003,78,Crystal Palace
h,4.56284,2.0471,3.80167,2.0471,"{'att': 196, 'def': 25}","{'att': 219, 'def': 27}",14,6,3,3,2.7443,d,2025-10-18 14:00:00,0,1,0,1,1.7545700000000002,78,Crystal Palace
a,0.350534,0.856175,0.350534,0.856175,"{'att': 311, 'def': 11}","{'att': 211, 'def': 17}",1,5,0,1,0.7859999999999999,l,2025-10-26 13:00:00,0,0,1,0,-0.505641,78,Crystal Palace
h,0.734558,0.820498,0.734558,0.820498,"{'att': 310, 'def': 16}","{'att': 128, 'def': 22}",5,8,2,0,1.2190999999999999,w,2025-11-01 15:00:00,1,0,0,3,-0.0859399999999999,78,Crystal Palace
h,0.839547,0.637037,0.839547,0.637037,"{'att': 306, 'def': 26}","{'att': 210, 'def': 21}",10,7,0,0,1.4652,d,2025-11-09 14:00:00,0,1,0,1,0.20251000000000008,78,Crystal Palace
a,1.44933,1.66409,1.44933,1.66409,"{'att': 251, 'def': 25}","{'att': 246, 'def': 23}",11,10,2,0,1.146,w,2025-11-22 15:00:00,1,0,0,3,-0.21476000000000006,78,Crystal Palace
h,2.13561,1.47768,1.37444,1.47768,"{'att': 241, 'def': 19}","{'att': 170, 'def': 19}",4,1,1,2,1.9058000000000002,l,2025-11-30 12:00:00,0,0,1,0,-0.10324,78,Crystal Palace
a,0.987797,1.16852,0.987797,1.16852,"{'att': 347, 'def': 14}","{'att': 244, 'def': 25}",4,9,1,0,1.1972999999999998,w,2025-12-03 19:30:00,1,0,0,3,-0.18072299999999997,78,Crystal Palace
a,1.71109,0.766771,1.71109,0.766771,"{'att': 402, 'def': 19}","{'att': 231, 'def': 19}",3,5,2,1,2.092,w,2025-12-07 16:30:00,1,0,0,3,0.944319,78,Crystal Palace
