element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
335,3,6,2,False,2025-08-16T14:00:00Z,1,1,1,False,76,0,0,0,1,0,0,0,0,0,0,0,11,12.4,14.0,27.0,5.3,0,6,3,9,1,0.18,0.13,0.31,1.07,45,0,80361,0,0
335,17,14,2,True,2025-08-24T15:30:00Z,1,1,2,False,70,0,0,0,1,0,0,0,0,0,0,0,1,5.0,1.3,23.0,2.9,0,1,1,2,1,0.17,0.01,0.18,1.52,45,25003,132551,45975,20972
335,23,7,2,False,2025-08-30T11:30:00Z,2,0,3,False,66,0,0,0,2,0,0,0,0,0,0,0,11,10.8,12.6,11.0,3.4,2,3,0,5,1,0.04,0.08,0.12,2.23,45,21556,151711,47696,26140
335,37,11,1,True,2025-09-13T14:00:00Z,1,0,4,False,59,0,0,0,0,0,0,0,0,0,0,0,4,0.2,1.0,0.0,0.1,0,2,1,3,1,0.00,0.01,0.01,0.74,45,190042,386435,248171,58129
335,45,5,1,True,2025-09-20T19:00:00Z,3,1,5,False,66,0,0,0,1,0,0,0,1,0,0,0,3,0.0,3.3,8.0,0.6,0,5,1,6,1,0.09,0.02,0.11,0.43,45,66180,423764,100097,33917
335,51,2,1,False,2025-09-28T13:00:00Z,3,1,6,False,64,0,0,0,3,0,0,0,1,0,0,0,11,16.8,11.1,47.0,7.5,2,2,1,5,1,0.25,0.01,0.26,1.11,45,44795,467120,111920,67125
335,63,4,3,False,2025-10-03T19:00:00Z,3,1,7,False,66,0,0,1,0,0,0,0,0,0,0,0,8,1.4,1.7,7.0,1.0,2,0,0,2,1,0.01,0.02,0.03,0.45,45,13884,483381,54260,40376
335,74,1,2,True,2025-10-18T16:30:00Z,0,1,8,False,62,0,0,0,1,0,0,0,0,0,0,0,7,6.0,0.5,2.0,0.9,1,2,2,5,1,0.03,0.01,0.04,1.14,45,4860,490435,58719,53859
335,89,15,1,False,2025-10-25T14:00:00Z,2,1,9,False,14,0,0,0,1,0,0,0,0,0,0,0,3,4.4,0.0,0.0,0.4,0,1,2,3,0,0.00,0.00,0.00,0.82,45,1830,493298,40967,39137
335,94,20,3,True,2025-11-01T15:00:00Z,3,0,10,False,71,0,0,1,0,0,0,0,0,0,0,0,10,1.8,12.5,5.0,1.9,0,2,1,3,1,0.03,0.04,0.07,0.17,45,843,498325,42275,41432
335,105,9,1,False,2025-11-08T15:00:00Z,2,0,11,False,45,0,0,0,1,0,0,0,0,0,0,0,11,13.0,21.1,4.0,3.8,0,1,4,5,0,0.00,0.02,0.02,0.58,45,838,497191,30568,29730
335,115,17,3,True,2025-11-22T15:00:00Z,1,0,12,False,63,0,0,1,0,0,0,0,0,0,0,0,3,0.0,11.8,10.0,2.1,1,2,0,3,1,0.11,0.05,0.16,0.16,45,-6146,493525,27699,33845
335,129,18,5,False,2025-11-29T20:00:00Z,1,2,13,False,67,0,1,0,1,0,0,0,0,0,0,0,17,19.8,11.6,2.0,3.3,2,5,1,8,1,0.00,0.00,0.00,0.50,45,-26641,441089,10054,36695
335,135,13,1,True,2025-12-02T19:30:00Z,4,5,14,False,16,0,0,0,0,0,0,0,0,0,0,0,2,3.0,0.0,7.0,1.0,0,0,0,0,0,0.19,0.00,0.19,0.00,45,-9189,456979,11557,20746
335,145,8,0,True,2025-12-07T16:30:00Z,,,15,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,45,-14757,440473,11452,26209
