element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
469,2,2,9,False,2025-08-16T11:30:00Z,0,0,1,False,90,0,0,1,0,0,0,0,0,0,3,2,32,27.0,0.0,0.0,2.7,1,16,0,0,1,0.00,0.00,0.00,0.20,50,0,320357,0,0
469,19,12,4,True,2025-08-25T19:00:00Z,2,3,2,False,90,0,1,0,3,0,0,0,0,0,1,0,7,10.0,0.0,0.0,1.0,1,4,0,0,1,0.00,0.00,0.00,0.70,50,16152,440142,42931,26779
469,24,11,5,False,2025-08-30T16:30:00Z,0,0,3,False,90,0,0,1,0,0,0,0,1,0,1,0,21,10.2,0.0,0.0,1.0,1,11,0,0,1,0.00,0.00,0.00,0.69,50,96770,625713,131789,35019
469,39,20,8,True,2025-09-13T14:00:00Z,1,0,4,False,90,0,0,1,0,0,0,0,0,0,3,1,29,26.4,0.0,0.0,2.6,0,7,0,0,1,0.00,0.00,0.00,0.50,50,73146,712259,114642,41496
469,42,4,6,False,2025-09-21T13:00:00Z,0,0,5,False,90,0,0,1,0,0,0,0,0,0,2,0,26,14.8,0.0,0.0,1.5,1,11,0,0,1,0.00,0.00,0.00,0.56,50,17973,710797,50708,32735
469,58,1,2,True,2025-09-28T15:30:00Z,1,2,6,False,90,0,0,0,2,0,0,0,0,0,5,0,20,46.8,0.0,0.0,4.7,3,14,1,0,1,0.00,0.00,0.00,2.04,50,85705,812091,143406,57701
469,69,16,7,True,2025-10-05T13:00:00Z,2,0,7,False,90,0,0,1,0,0,0,0,0,0,4,0,31,29.0,0.0,0.0,2.9,1,8,0,0,1,0.00,0.00,0.00,0.29,51,214146,1062484,243259,29113
469,71,6,2,False,2025-10-18T14:00:00Z,2,1,8,False,90,0,0,0,2,0,0,0,0,0,3,0,10,20.0,0.0,0.0,2.0,3,14,0,0,1,0.00,0.00,0.00,0.91,51,302387,1390465,336517,34130
469,89,10,3,True,2025-10-25T14:00:00Z,2,1,9,False,90,0,0,0,1,0,0,0,0,0,4,0,14,27.4,0.0,0.0,2.7,0,7,0,0,1,0.00,0.00,0.00,1.53,52,83526,1480976,119920,36394
469,100,19,3,False,2025-11-02T14:00:00Z,3,1,10,False,90,0,0,0,3,0,0,0,0,0,7,0,15,46.4,0.0,0.0,4.6,7,10,0,0,1,0.00,0.00,0.00,1.75,52,36915,1530542,86073,49158
469,102,5,3,False,2025-11-09T14:00:00Z,3,1,11,False,76,0,0,0,1,0,0,0,0,0,3,0,16,26.6,0.0,0.0,2.7,4,7,0,0,1,0.00,0.00,0.00,0.82,52,-31574,1485466,27666,59240
469,119,13,3,True,2025-11-22T17:30:00Z,2,1,12,False,90,0,0,0,1,0,0,0,0,0,3,0,12,26.6,0.0,0.0,2.7,0,4,0,0,1,0.00,0.00,0.00,2.49,52,-100080,1366400,11140,111220
469,125,9,0,False,2025-11-29T17:30:00Z,1,4,13,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,52,-8825,1329849,25760,34585
469,139,18,0,True,2025-12-02T20:15:00Z,2,2,14,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,52,-217180,1154093,3126,220306
469,148,3,0,True,2025-12-06T15:00:00Z,2,1,15,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,51,-234125,925262,432,234557
469,159,17,0,False,2025-12-14T14:00:00Z,1,0,16,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,51,-267301,667553,312,267613
469,168,7,0,True,2025-12-20T12:30:00Z,2,2,17,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,51,-68128,609477,615,68743
