element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
374,1,4,1,True,2025-08-15T19:00:00Z,4,2,1,False,90,0,0,0,2,0,0,0,0,0,0,0,6,21.4,0.6,0.0,2.2,7,5,0,7,1,0.00,0.00,0.00,1.70,55,0,278294,0,0
374,19,15,0,False,2025-08-25T19:00:00Z,2,3,2,False,90,0,0,0,2,0,0,0,1,0,0,0,5,13.2,1.0,0.0,1.4,5,1,1,6,1,0.00,0.01,0.01,0.93,55,-21595,314014,18206,39801
374,25,1,6,True,2025-08-31T15:30:00Z,1,0,3,False,78,0,0,1,0,0,0,0,0,0,0,0,26,16.2,0.8,0.0,1.7,4,2,1,5,1,0.00,0.00,0.00,0.40,55,-27204,310805,21429,48633
374,34,3,9,False,2025-09-14T13:00:00Z,0,1,4,False,86,0,0,1,0,0,0,0,0,0,0,3,29,20.8,26.7,9.0,5.7,3,3,4,7,1,0.49,0.05,0.54,0.13,55,14468,350482,46796,32328
374,46,9,4,True,2025-09-20T11:30:00Z,2,1,5,False,90,0,0,0,1,0,0,0,0,0,0,0,9,27.4,0.7,5.0,3.3,9,2,2,11,1,0.04,0.00,0.04,0.70,55,36624,401221,54784,18160
374,54,8,3,False,2025-09-27T14:00:00Z,2,1,6,False,73,0,0,0,1,0,0,0,1,0,0,0,14,27.8,13.8,4.0,4.6,13,3,1,14,1,0.07,0.06,0.13,2.20,55,12873,420867,41193,28320
374,65,7,1,False,2025-10-04T16:30:00Z,2,1,7,False,55,0,0,0,1,0,0,0,0,0,0,0,10,8.0,0.5,0.0,0.9,2,0,2,4,1,0.00,0.00,0.00,0.14,55,-5592,422137,27165,32757
374,75,14,3,True,2025-10-19T15:30:00Z,1,2,8,False,90,0,0,0,2,0,0,0,0,0,0,0,11,32.8,14.5,7.0,5.4,9,4,2,11,1,0.01,0.19,0.20,1.34,55,-74596,348718,6005,80601
374,84,5,3,False,2025-10-25T19:00:00Z,3,2,9,False,90,0,0,0,3,0,0,0,0,0,0,0,8,25.4,11.8,4.0,4.1,6,2,4,10,1,0.00,0.01,0.01,2.75,54,-8010,346555,12495,20505
374,95,2,8,True,2025-11-01T20:00:00Z,2,0,10,False,90,0,0,1,0,0,0,0,0,0,0,0,21,15.0,1.8,4.0,2.1,12,3,0,12,1,0.13,0.01,0.14,0.41,54,-15541,333601,9055,24596
374,106,13,1,False,2025-11-09T16:30:00Z,3,0,11,False,90,0,0,0,3,0,0,0,0,0,0,0,3,21.0,0.9,0.0,2.2,7,3,0,7,1,0.00,0.01,0.01,1.60,54,-5597,330983,7516,13113
374,117,16,0,True,2025-11-22T15:00:00Z,0,3,12,False,54,0,0,0,2,0,0,0,0,0,0,0,1,8.8,0.8,0.0,1.0,2,2,1,3,1,0.00,0.01,0.01,0.68,54,52435,396838,63784,11349
374,130,19,8,False,2025-11-30T14:05:00Z,0,2,13,False,90,0,0,1,0,0,0,0,0,0,0,0,27,30.4,1.1,0.0,3.2,12,4,1,13,1,0.00,0.01,0.01,0.29,54,-18514,365281,7995,26509
374,137,17,4,True,2025-12-03T20:15:00Z,1,1,14,False,90,0,0,0,1,0,0,0,0,0,0,0,19,26.4,2.6,17.0,4.6,8,3,3,11,1,0.02,0.01,0.03,0.41,54,8056,384118,15220,7164
374,146,11,1,False,2025-12-06T17:30:00Z,3,3,15,False,90,0,0,0,3,0,0,0,0,0,0,0,4,15.8,1.8,17.0,3.5,6,4,2,8,1,0.05,0.02,0.07,1.51,54,-5325,376766,6984,12309
374,156,6,9,True,2025-12-13T15:00:00Z,2,0,16,False,90,0,0,1,0,0,0,0,1,0,0,2,30,36.4,1.2,0.0,3.8,11,6,5,16,1,0.00,0.01,0.01,1.90,54,-20712,358149,17442,38154
374,169,18,1,False,2025-12-20T17:30:00Z,1,2,17,False,90,0,0,0,1,0,0,0,1,0,0,0,5,21.0,2.3,2.0,2.5,7,3,0,7,1,0.00,0.01,0.01,1.07,54,21868,382927,33140,11272
374,176,20,2,True,2025-12-27T15:00:00Z,2,1,18,False,90,0,0,0,1,0,0,0,0,0,0,0,10,19.0,1.9,2.0,2.3,4,1,0,4,1,0.00,0.02,0.02,1.07,54,67514,490898,79074,11560
374,186,11,7,True,2026-01-01T17:30:00Z,0,0,19,False,90,0,0,1,0,0,0,0,0,0,0,1,28,22.2,9.8,0.0,3.2,8,3,1,9,1,0.00,0.23,0.23,0.68,54,3324,459704,18246,14922
374,195,10,1,False,2026-01-04T15:00:00Z,2,2,20,False,90,0,0,0,2,0,0,0,0,0,0,0,10,20.4,3.0,0.0,2.3,5,5,0,5,1,0.00,0.04,0.04,0.75,54,-7754,449928,11759,19513
