element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
466,9,1,0,True,2025-08-17T15:30:00Z,0,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,60,0,35612,0,0
466,17,10,0,False,2025-08-24T15:30:00Z,1,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,60,-4239,45569,4204,8443
466,26,3,1,True,2025-08-30T14:00:00Z,3,2,3,False,59,0,0,0,2,0,0,0,0,0,0,0,-2,8.2,15.4,52.0,7.6,2,1,0,3,0,0.67,0.03,0.70,1.20,59,-6855,43714,2857,9712
466,38,13,1,False,2025-09-14T15:30:00Z,3,0,4,False,10,0,0,0,0,0,0,0,0,0,0,0,4,0.2,0.3,2.0,0.3,0,1,0,1,0,0.00,0.00,0.00,0.18,59,-1918,45735,4380,6298
466,47,7,0,True,2025-09-20T16:30:00Z,2,1,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,59,-948,47065,3752,4700
466,52,5,1,False,2025-09-27T11:30:00Z,3,1,6,False,5,0,0,0,1,0,0,0,0,0,0,0,2,0.0,0.3,4.0,0.2,0,0,0,0,0,0.12,0.00,0.12,0.10,59,-1972,46716,2770,4742
466,68,17,0,True,2025-10-04T14:00:00Z,2,0,7,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,59,-1816,46036,1776,3592
466,75,12,0,False,2025-10-19T15:30:00Z,1,2,8,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,58,-2125,45116,1903,4028
466,88,6,1,True,2025-10-25T16:30:00Z,4,2,9,False,8,0,0,0,1,0,0,0,0,0,0,0,3,5.2,1.1,2.0,0.8,0,0,2,2,0,0.00,0.00,0.00,0.32,58,-918,44784,1361,2279
466,97,16,0,False,2025-11-01T15:00:00Z,2,2,10,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,58,-796,44503,1492,2288
466,109,18,0,False,2025-11-08T12:30:00Z,2,2,11,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,58,-714,44329,1156,1870
466,118,9,2,True,2025-11-24T20:00:00Z,0,1,12,False,90,0,0,0,1,0,0,0,0,0,0,0,10,13.6,29.8,42.0,8.5,2,3,0,5,1,0.35,0.08,0.43,0.23,58,776,45908,2534,1758
466,124,8,9,False,2025-11-30T12:00:00Z,1,2,13,False,90,1,0,0,1,0,0,0,0,0,0,3,37,43.4,18.5,19.0,8.1,2,3,2,7,1,0.03,0.01,0.04,1.83,58,1058,47592,2433,1375
466,138,19,2,True,2025-12-04T20:00:00Z,1,1,14,False,77,0,0,1,0,0,0,0,0,0,0,0,6,6.0,6.3,13.0,2.5,1,4,2,7,1,0.43,0.00,0.43,0.41,58,22060,74389,23551,1491
466,150,20,0,False,2025-12-08T20:00:00Z,1,4,15,False,6,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1.5,0.0,0.1,0,1,0,1,0,0.00,0.01,0.01,0.05,58,9384,82514,14663,5279
466,157,4,1,True,2025-12-15T20:00:00Z,4,4,16,False,1,0,0,0,0,0,0,0,0,0,0,0,3,2.2,1.1,0.0,0.3,1,0,0,1,0,0.00,0.00,0.00,0.30,58,-10649,70263,10105,20754
466,161,2,1,False,2025-12-21T16:30:00Z,2,1,17,False,17,0,0,0,0,0,0,0,0,0,0,0,4,0.2,2.4,6.0,0.9,0,1,0,1,0,0.00,0.01,0.01,0.09,58,-4573,66325,4777,9350
466,177,15,1,True,2025-12-26T20:00:00Z,1,0,18,False,30,0,0,0,0,0,0,0,0,0,0,0,1,2.2,1.0,0.0,0.3,1,0,0,1,0,0.00,0.00,0.00,0.96,58,-4675,62074,2613,7288
466,187,20,8,True,2025-12-30T20:15:00Z,1,1,19,False,45,1,0,0,1,0,0,0,0,0,0,3,30,40.8,16.5,9.0,6.6,2,0,1,3,1,0.09,0.00,0.09,0.45,58,-1434,61779,2735,4169
466,196,11,4,False,2026-01-04T12:30:00Z,1,1,20,False,27,0,1,0,0,0,0,0,0,0,0,0,16,19.0,22.5,2.0,4.4,0,0,0,0,0,0.00,0.15,0.15,0.27,58,2437,64733,4845,2408
466,204,3,0,False,2026-01-07T20:15:00Z,,,21,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,58,3901,69361,6944,3043
