element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
243,8,8,0,True,2025-08-17T13:00:00Z,0,0,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,0,4627,0,0
243,20,19,0,False,2025-08-22T19:00:00Z,1,5,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,50,-614,5817,404,1018
243,23,10,3,True,2025-08-30T11:30:00Z,2,0,3,False,66,0,0,1,0,0,0,0,0,0,0,0,4,3.6,1.3,33.0,3.8,0,1,0,1,0,0.21,0.01,0.22,0.27,49,-777,5760,264,1041
243,33,5,0,False,2025-09-13T19:00:00Z,2,2,4,False,45,0,0,0,1,0,0,0,1,0,0,0,1,4.6,4.9,19.0,2.9,0,0,1,1,0,0.04,0.06,0.10,0.87,49,92,6365,944,852
243,47,14,0,False,2025-09-20T16:30:00Z,2,1,5,False,26,0,0,0,0,0,0,0,1,0,0,0,-7,0.0,0.8,0.0,0.0,0,0,0,0,0,0.00,0.01,0.01,0.39,49,-164,6506,395,559
243,53,6,0,True,2025-09-27T14:00:00Z,1,3,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,229,7078,832,603
