element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
488,2,2,3,False,2025-08-16T11:30:00Z,0,0,1,False,90,0,0,1,0,0,0,0,0,0,0,0,11,7.6,22.6,2.0,3.2,1,5,2,8,1,0.00,0.10,0.10,0.20,65,0,163281,0,0
488,19,12,6,True,2025-08-25T19:00:00Z,2,3,2,False,90,1,0,0,3,0,0,0,1,0,0,0,22,37.0,8.3,17.0,6.2,0,8,3,11,1,0.17,0.02,0.19,0.70,65,-20428,165180,4445,24873
488,24,11,3,False,2025-08-30T16:30:00Z,0,0,3,False,90,0,0,1,0,0,0,0,0,0,0,0,14,7.6,9.6,0.0,1.7,0,6,3,9,1,0.00,0.05,0.05,0.69,65,63924,268108,80916,16992
488,39,20,2,True,2025-09-13T14:00:00Z,1,0,4,False,90,0,0,1,0,0,0,0,1,0,0,0,9,7.2,32.3,6.0,4.6,1,10,0,11,1,0.08,0.05,0.13,0.50,65,23377,303994,51564,28187
488,42,4,0,False,2025-09-21T13:00:00Z,0,0,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,65,-19157,285656,16506,35663
488,58,1,2,True,2025-09-28T15:30:00Z,1,2,6,False,90,0,0,0,2,0,0,0,0,0,0,0,10,9.4,26.3,2.0,3.8,1,1,2,4,1,0.00,0.22,0.22,2.04,65,-39758,247756,5568,45326
488,69,16,14,True,2025-10-05T13:00:00Z,2,0,7,False,90,1,1,1,0,0,0,0,0,0,0,3,52,44.6,16.3,17.0,7.8,0,4,3,7,1,0.07,0.12,0.19,0.29,65,-9189,243837,8386,17575
488,71,6,2,False,2025-10-18T14:00:00Z,2,1,8,False,85,0,0,0,2,0,0,0,0,0,0,0,14,14.8,16.5,28.0,5.9,2,4,2,8,1,0.36,0.22,0.58,0.91,65,30966,282912,43763,12797
488,89,10,10,True,2025-10-25T14:00:00Z,2,1,9,False,90,1,0,0,1,0,0,0,0,0,0,3,39,46.0,46.9,25.0,11.8,0,6,3,9,1,0.80,0.10,0.90,1.53,65,12428,297031,28822,16394
488,100,19,4,False,2025-11-02T14:00:00Z,3,1,10,False,90,0,1,0,3,0,0,0,1,0,0,0,23,30.6,49.5,3.0,8.3,1,7,2,10,1,0.03,0.07,0.10,1.75,65,134278,458210,149450,15172
488,102,5,4,False,2025-11-09T14:00:00Z,3,1,11,False,90,0,0,0,3,0,0,0,0,0,0,0,18,16.2,3.9,7.0,2.7,7,4,2,13,1,0.05,0.03,0.08,2.00,66,17596,460640,43810,26214
488,119,13,10,True,2025-11-22T17:30:00Z,2,1,12,False,90,0,2,0,1,0,0,0,0,0,0,2,26,23.2,18.8,7.0,4.9,3,2,2,7,1,0.43,0.04,0.47,2.49,66,-23982,432684,18241,42223
488,125,9,4,False,2025-11-29T17:30:00Z,1,4,13,False,89,0,0,0,1,0,0,0,0,0,0,0,20,19.2,9.9,0.0,2.9,6,6,2,14,1,0.00,0.07,0.07,0.94,66,89512,540758,101285,11773
488,139,18,7,True,2025-12-02T20:15:00Z,2,2,14,False,45,1,0,0,2,0,0,0,0,0,0,1,26,37.4,16.5,19.0,7.3,0,1,0,1,0,0.07,0.02,0.09,0.39,67,182181,726247,201973,19792
488,148,3,10,True,2025-12-06T15:00:00Z,2,1,15,False,90,1,0,0,1,0,0,0,0,0,0,3,44,47.6,19.2,26.0,9.3,0,6,1,7,1,0.14,0.24,0.38,1.61,68,505534,1284078,518759,13225
488,159,17,1,False,2025-12-14T14:00:00Z,1,0,16,False,90,0,0,0,1,0,0,0,1,0,0,0,20,26.0,21.8,14.0,6.2,6,3,2,11,1,0.08,0.09,0.17,0.30,70,667101,1907516,720800,53699
488,168,7,2,True,2025-12-20T12:30:00Z,2,2,17,False,90,0,0,0,2,0,0,0,0,0,0,0,15,9.8,17.3,0.0,2.7,1,6,2,9,1,0.00,0.11,0.11,1.22,70,-66077,1797273,156751,222828
488,177,14,2,False,2025-12-26T20:00:00Z,1,0,18,False,90,0,0,0,1,0,0,0,0,0,0,0,15,18.0,25.9,43.0,8.7,1,4,1,6,1,0.06,0.16,0.22,1.27,70,-88369,1678752,105645,194014
488,183,3,10,False,2025-12-30T19:30:00Z,1,3,19,False,90,1,0,0,1,0,0,0,0,0,0,3,46,58.2,44.5,43.0,14.6,3,2,5,10,1,0.52,0.19,0.71,1.06,70,-8214,1734705,129766,137980
