element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,clearances_blocks_interceptions,recoveries,tackles,defensive_contribution,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out
522,4,5,1,True,2025-08-17T13:00:00Z,3,1,1,False,6,0,0,0,0,0,0,0,0,0,0,0,7,4.6,1.6,2.0,0.8,2,3,0,5,0,0.00,0.01,0.01,0.00,50,0,13051,0,0
522,15,8,1,False,2025-08-24T13:00:00Z,1,1,2,False,2,0,0,0,0,0,0,0,0,0,0,0,3,2.6,1.8,0.0,0.4,1,0,0,1,0,0.00,0.00,0.00,0.00,50,-1618,12944,381,1999
522,27,19,0,True,2025-08-31T13:00:00Z,0,3,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-1611,11842,303,1914
522,31,1,1,False,2025-09-13T11:30:00Z,3,0,4,False,17,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.6,0.0,0.0,1,0,0,1,0,0.00,0.00,0.00,0.08,49,-1304,10929,385,1689
522,44,3,0,False,2025-09-20T14:00:00Z,1,1,5,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,49,-657,10534,362,1019
522,59,17,0,True,2025-09-27T16:30:00Z,0,1,6,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,-252,10526,827,1079
522,69,15,1,False,2025-10-05T13:00:00Z,2,0,7,False,63,0,0,0,1,0,0,0,1,0,0,0,3,12.6,1.3,17.0,3.1,5,2,0,7,1,0.07,0.00,0.07,1.03,48,-392,10247,424,816
522,77,7,0,True,2025-10-18T11:30:00Z,0,3,8,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.00,0.00,0.00,0.00,48,-435,9972,405,840
522,83,4,1,False,2025-10-26T14:00:00Z,2,0,9,False,45,0,0,0,0,0,0,0,0,0,0,0,5,3.0,2.7,0.0,0.6,2,0,0,2,0,0.00,0.00,0.00,0.10,48,-422,9644,186,608
522,97,14,5,True,2025-11-01T15:00:00Z,2,2,10,False,76,0,1,0,2,0,0,0,0,0,0,0,21,23.4,16.8,2.0,4.2,1,4,1,6,0,0.00,0.15,0.15,1.02,47,-320,9444,216,536
